"","user","tweet","lokasi"
"153","RatjoenBelanja","pvn jisung sepatu sneakers wanita sport shoes rating",""
"154","RatjoenBelanja","dorks classic high off white sepatu sneakers casual pria wanita sepatu original sepatu pria sepatu sekolah sepatu murah rating",""
"155","alviliaa_","promo diskon beeyoo sepatu sneakers tali sepatu wanita dewasa fashion sepatu kets jalan santai wk diskon checkout sekarang","Pasar induk"
"156","ArianaAbascal1","promo diskon leedoo sepatu sneakers pria sepatu tali kasual fashion running sport shoes sepatu olahraga mr diskon checkout sekarang",""
"157","id_myfashion","flash sale aerostreet massive hitam hitam gum sepatu sneakers casual pria wanita aero street hh diskon checkout sekarang","Indonesia"
"158","Lemontational","aerostreet massive low hitam sepatu sneakers casual pria wanita aero street aa",""
"159","asep_heri82","sepatu sneakers pria denver rp upper punya leather good grade outsole rubber army black all stitch unisex",""
"160","txtberseragam","unerd average offwhite sepatu sneakers casual pria wanita rating","Jakarta Pusat, DKI Jakarta"
"161","txtberseragam","unerd shadow grey sepatu sneakers casual pria rating","Jakarta Pusat, DKI Jakarta"
"162","txtberseragam","aerostreet aerofomz insole sepatu sneakers casual sekolah pria wanita aero street rating","Jakarta Pusat, DKI Jakarta"
"163","txtberseragam","heiden heritage hrtg zephyr astral blizzard sneakers sepatu pria rating","Jakarta Pusat, DKI Jakarta"
"164","txtberseragam","moerelli cowok sepatu sneakers pria altovo white chocolate mocca rating","Jakarta Pusat, DKI Jakarta"
"165","txtberseragam","unerd crimsone blue sepatu sneakers casual pria rating","Jakarta Pusat, DKI Jakarta"
"166","txtberseragam","paulmay sepatu sneakers pria lisbon high white rating","Jakarta Pusat, DKI Jakarta"
"167","txtberseragam","heiden heritage hrtg zephyr royalist blue sneakers sepatu pria rating","Jakarta Pusat, DKI Jakarta"
"168","txtberseragam","heiden heritage hrtg zephyr midnight agate sneakers sepatu pria rating","Jakarta Pusat, DKI Jakarta"
"169","txtberseragam","ando official sepatu sneakers tricks pria dewasa putih rating","Jakarta Pusat, DKI Jakarta"
"170","txtberseragam","nokha sepatu sneakers triglav markab pria rating","Jakarta Pusat, DKI Jakarta"
"171","txtberseragam","piero sepatu sneakers pria ergo khaki gum p rating","Jakarta Pusat, DKI Jakarta"
"172","txtberseragam","heiden heritage hrtg marvel hrtg zephyr sneakers sepatu pria rating","Jakarta Pusat, DKI Jakarta"
"173","txtberseragam","referensi sepatu cowok yang kece banget apalagi kalo dipakai jalan sama crush btw save rt saja dulu kali saja kelewat tag sneakers lokal prrekomendasi chunky shoes","Jakarta Pusat, DKI Jakarta"
"174","asep_heri82","sepatu sneakers pria lisbon high rp upper punya leather good grade outsole rubber kombinasi warna abu dan putih all stitch unisex",""
"175","allysamaz","<U+3164> sepatu wanita nylon sneakers pink rp <U+3164>","#ringling-mazzie"
"176","KucingSiOren","pvn mingyu sepatu sneakers wanita casual sport shoes cream","DKI Jakarta"
"177","dhidharmo","sepatu cari warna yang matching sama jaket pakai sneakers biar enak jalannya karena valletta enggak terlalu luas jadi biar push budget kita jalan kaki","#<U+0001D5F3><U+0001D602><U+0001D5FB><U+0001D5F1><U+0001D5EE><U+0001D601><U+0001D5F2>-<U+0001D5F1><U+0001D5F6><U+0001D5F1><U+0001D5FC> <U+0001F9E9>"
"178","SaraAlamilla11","promo diskon justlook seojin sepatu sneakers wanita sneakers shoes fashion korea diskon checkout sekarang","Indonesia"
"179","BlanjaMurahYuk","blow blas claire sepatu sneakers sport wanita rating",""
"180","BlanjaMurahYuk","sevenday sepatu sneakers wanita korea import casual shoes h rating",""
"181","BlanjaMurahYuk","pvn aelin sepatu sneakers putih sepatu casual wanita shoes rating",""
"182","BlanjaMurahYuk","polla polly dawn white sepatu sneakers sport wanita model korea rating",""
"183","BlanjaMurahYuk","cod sale sepatu wanita sneaker import sport sepatu casual korea style murah dd rating",""
"184","BlanjaMurahYuk","slava blossom white sepatu sneakers wanita original footwear rating",""
"185","BlanjaMurahYuk","codbayar ditempat df sepatu wanita sneakers tali kanvas model terbaru trendy dan elegan rating",""
"186","BlanjaMurahYuk","pvn taeyong sepatu sneakers wanita sport shoes cream rating",""
"187","BlanjaMurahYuk","elira marta putih sepatu sneakers wanita rating",""
"188","BlanjaMurahYuk","free box ns sepatu sneakers wanita kasual termurah sepatu wanita terlaris sneakers kulit rating",""
"189","BlanjaMurahYuk","sepatu wanita sneaker tinggi luar negeri import sepatu olahraga korea dd rating",""
"190","BlanjaMurahYuk","free box sneakers wanita korea sepatu wanita import fashion ns rating",""
"191","BlanjaMurahYuk","sneakypair kleantha sepatu wanita sneakers shoes fee snp r r rating",""
"192","BlanjaMurahYuk","super sale model baru sepatu wanita sneakers jilitu sw fashion import korean trend free kotak rating",""
"193","BlanjaMurahYuk","beeyoo sepatu sneakers wanita sepatu kets olahraga wanita fashion wk rating",""
"194","BlanjaMurahYuk","polla polly eun se beige sepatu sneakers sport wanita model korea rating",""
"195","BlanjaMurahYuk","polla polly sneakers jisoo white sepatu sport wanita model korea rating",""
"196","BlanjaMurahYuk","sepatu sneakers wanita via shoes white like project rating",""
"197","urmoodss_","mingyu sneakers jongsuk sepatu sneakers","RACUN SHOPEE"
"198","id_myfashion","flash sale aerostreet massive abu pastel sepatu sneakers casual pria wanita aero street gg diskon checkout sekarang","Indonesia"
"199","threadkece","sepatu sneakers pria rp sebelum twitter zonajajan nora notion pasuruansantri rebornrich kim jong un mangga kokas hoshi","Indonesia"
"200","id_myfashion","flash sale leedoo sepatu sneakers running pria lentur mr diskon checkout sekarang","Indonesia"
"201","nirmalsalsabila","promo diskon pvn jin low cut sepatu sneakers wanita sport shoes diskon checkout sekarang",""
"202","tanyakanrl","guys sepatu sneaker yang cocok dipaduin sama outfit apapun apa ya","Indonesia"
"203","DAMERONWlFEY","cek aerostreet rose putih natural peach sepatu sneakers casual sport pria wanita aero street jj dengan harga rp dapatkan di shopee sekarang baru dapat yang pvn kemarin yang ini belum kebeli kayaknya tahun depan saja ye nanggung","she/her "
"204","HeruPra26690615","temukan sepatu sneakers anak laki laki perempuan import premium terbaru dengan potongan hanya rp rp dapatkan sekarang juga di shopee","Indonesia"
"205","imamtoyib1","promo diskon aerostreet massive low gum army sepatu sneakers casual pria wanita aero street hh diskon checkout sekarang","Mojosari Kras Kediri Jawa Timu"
"206","racunshpeecheck","vera nevada sepatu sneakers wedges wanita boot shoes vn rating",""
"207","esterangelin22","sepatu sneakers wanita import sport link","Kalimantan Barat, Indonesia"
"208","esterangelin22","sepatu sneakers wanita import premium quality link","Kalimantan Barat, Indonesia"
"209","esterangelin22","sepatu sneakers wanita model korea import link","Kalimantan Barat, Indonesia"
